,REP Butler,CON Butler,IND Butler,REF Butler,x1 WriteIns,x2 Voids,x3 Blanks
Bleecker,208,22,12,2,0,0,81
Broadalbin 1,400,40,32,1,4,0,110
Broadalbin 2,499,67,25,8,1,0,151
Broadalbin 3,317,40,13,1,3,0,111
Broadalbin 4,364,34,13,1,0,0,131
Caroga,486,41,30,4,2,2,134
Ephratah,464,57,28,3,0,0,128
Johnstown 1,456,45,29,6,0,0,135
Johnstown 2,575,45,36,7,2,0,167
Johnstown 3,573,36,26,4,1,0,143
Johnstown 4,437,48,19,3,1,1,114
Mayfield 1,377,32,20,3,0,0,114
Mayfield 2,486,43,9,2,0,0,100
Mayfield 3,510,52,16,6,1,0,146
Mayfield 4,538,62,28,1,0,1,164
Northampton 1,490,61,20,6,2,0,132
Northampton 2,39,8,0,0,0,0,10
Northampton 3,317,35,19,6,0,0,146
Oppenheim 1,494,62,15,3,1,0,147
Perth 1,512,55,29,2,0,1,197
Perth 2,566,71,33,5,1,1,179
Stratford 1,198,24,13,1,1,0,45
Gloversville Ward 1 Dist 1,196,28,15,5,1,0,103
Gloversville Ward 1 Dist 2,249,25,26,0,0,0,92
Gloversville Ward 2 Dist 1,157,18,13,0,0,0,75
Gloversville Ward 2 Dist 2,170,22,13,5,0,1,75
Gloversville Ward 3 Dist 1,331,25,18,3,1,1,114
Gloversville Ward 3 Dist 2,262,25,25,2,0,0,107
Gloversville Ward 4 Dist 1,173,11,20,1,0,0,111
Gloversville Ward 4 Dist 2,204,21,10,0,1,0,89
Gloversville Ward 5 Dist 1,293,29,22,3,1,0,126
Gloversville Ward 5 Dist 2,284,30,23,3,2,0,107
Gloversville Ward 6 Dist 1,171,24,21,6,0,0,96
Gloversville Ward 6 Dist 2,236,28,19,6,0,0,100
Johnstown Ward 1 Dist 1,264,23,9,1,0,0,100
Johnstown Ward 1 Dist 2,300,30,20,3,1,0,113
Johnstown Ward 2 Dist 1,266,23,11,1,0,0,97
Johnstown Ward 2 Dist 2,299,23,20,3,1,0,85
Johnstown Ward 3 Dist 1,265,25,21,2,5,0,93
Johnstown Ward 3 Dist 2,248,22,27,3,1,1,95
Johnstown Ward 4 Dist 1,309,23,26,6,1,0,118
Johnstown Ward 4 Dist 2,253,20,8,2,0,0,86