,DEM Putman,WOR Putman,WEP Putman,REP Tedisco,CON Tedisco,IND Tedisco,REF Tedisco,x1 WriteIns,x2 Voids,x3 Blanks
Bleecker,72,2,4,190,22,6,0,0,0,29
Broadalbin 1,133,10,3,363,33,8,2,0,0,35
Broadalbin 2,125,17,3,482,66,14,3,1,0,40
Broadalbin 3,83,9,3,312,35,12,2,0,0,29
Broadalbin 4,101,9,1,350,34,6,2,0,0,40
Caroga,113,17,4,458,40,9,3,0,2,53
Ephratah,73,11,4,445,52,20,5,0,0,70
Johnstown 1,127,7,3,415,49,18,2,0,0,50
Johnstown 2,141,11,6,544,44,23,1,1,0,61
Johnstown 3,107,10,3,536,34,23,2,1,0,67
Johnstown 4,88,8,3,415,44,12,1,0,1,51
Mayfield 1,81,6,3,365,33,11,0,0,0,47
Mayfield 2,95,4,2,459,30,10,1,0,0,39
Mayfield 3,120,9,4,500,51,8,1,0,0,38
Mayfield 4,131,11,3,528,58,16,1,1,1,44
Northampton 1,106,6,5,473,63,11,6,0,0,41
Northampton 2,10,0,0,37,8,0,0,0,1,1
Northampton 3,112,9,1,303,31,20,3,3,0,41
Oppenheim 1,106,10,4,454,49,7,2,0,0,90
Perth 1,123,5,7,531,55,25,2,0,1,47
Perth 2,147,7,3,544,73,22,6,0,1,53
Stratford 1,30,4,3,186,23,7,1,0,0,28
Gloversville Ward 1 Dist 1,104,5,2,169,25,14,5,0,0,24
Gloversville Ward 1 Dist 2,96,6,0,225,26,13,0,0,0,26
Gloversville Ward 2 Dist 1,58,3,2,160,18,10,0,0,0,12
Gloversville Ward 2 Dist 2,51,5,3,161,20,13,0,0,1,32
Gloversville Ward 3 Dist 1,113,8,1,303,23,11,0,0,1,33
Gloversville Ward 3 Dist 2,102,4,2,240,27,9,1,0,0,36
Gloversville Ward 4 Dist 1,81,10,4,153,14,9,4,0,0,41
Gloversville Ward 4 Dist 2,74,5,1,194,14,8,1,0,0,28
Gloversville Ward 5 Dist 1,118,5,2,263,30,15,2,0,1,38
Gloversville Ward 5 Dist 2,91,10,3,270,30,14,5,0,0,26
Gloversville Ward 6 Dist 1,79,11,3,163,17,12,4,0,0,29
Gloversville Ward 6 Dist 2,85,6,3,225,24,13,3,0,0,30
Johnstown Ward 1 Dist 1,80,3,2,242,21,9,0,0,1,39
Johnstown Ward 1 Dist 2,88,8,0,286,25,15,1,0,0,44
Johnstown Ward 2 Dist 1,73,4,1,245,16,12,2,0,0,45
Johnstown Ward 2 Dist 2,71,9,2,290,24,11,0,0,0,24
Johnstown Ward 3 Dist 1,81,7,3,241,25,16,2,1,0,35
Johnstown Ward 3 Dist 2,88,3,3,235,23,12,3,1,2,27
Johnstown Ward 4 Dist 1,122,3,2,275,31,13,2,1,0,34
Johnstown Ward 4 Dist 2,62,3,0,235,16,6,0,0,0,47