"November 8, 2016",REP,CON,IND,REF,Write-In,Blank,Void
,Steven F. McLaughlin,Steven F. McLaughlin,Steven F. McLaughlin,Steven F. McLaughlin,,,
Troy 1,362,63,54,3,3,186,0
Troy 2,133,41,27,6,0,93,0
Troy 3,243,36,62,3,2,116,0
Troy 4,182,51,61,5,3,129,0
Troy 5,204,43,65,8,3,153,0
Troy 6,244,60,69,9,2,136,0
Troy 7,352,52,87,11,6,206,0
Troy 8,165,43,73,14,3,154,0
Troy 12,194,36,89,9,2,191,0
Troy 13,286,37,92,5,4,202,0
Troy 14,201,48,61,6,2,153,0
Troy 15,204,30,72,11,1,169,0
Troy 23,78,18,26,3,3,69,0
Berlin 1,304,42,55,1,0,78,0
Berlin 2,189,30,27,6,3,77,0
Brunswick 1,529,90,104,7,10,212,0
Brunswick 2,360,67,83,4,3,167,0
Brunswick 3,249,50,84,7,3,154,0
Brunswick 4,424,66,72,7,2,148,0
Brunswick 5,481,95,110,15,5,304,0
Brunswick 6,299,54,53,6,3,179,0
Brunswick 7,115,16,28,7,0,39,0
Brunswick 8,444,96,92,6,3,166,0
Brunswick 9,518,105,88,8,7,203,0
Brunswick 10,258,62,66,4,5,117,0
East Greenbush 1,633,97,206,15,7,358,0
East Greenbush 2,520,83,128,11,6,319,0
East Greenbush 3,286,64,71,3,1,174,0
East Greenbush 4,267,34,80,6,5,174,0
East Greenbush 5,147,30,32,3,0,85,0
East Greenbush 6,495,86,122,13,1,307,1
East Greenbush 7,353,61,65,7,3,248,0
East Greenbush 8,389,67,115,6,7,254,0
East Greenbush 9,261,49,78,6,2,159,0
East Greenbush 10,362,59,89,10,4,253,0
East Greenbush 11,404,70,114,13,7,255,0
East Greenbush 12,175,34,45,3,2,106,0
Grafton 1,295,76,49,4,3,143,0
Grafton 2,386,73,53,3,2,130,0
Hoosick 1,203,30,51,1,0,102,0
Hoosick 2,372,58,51,8,4,132,0
Hoosick 3,162,41,27,3,1,41,0
Hoosick 4,183,28,36,5,5,94,0
Hoosick 5,179,30,57,7,4,0,84
Hoosick 6,216,38,45,7,1,88,0
Hoosick 7,226,60,57,2,1,118,0
Nassau 1,285,34,58,7,2,123,0
Nassau 2,493,100,64,9,4,180,0
Nassau 3,278,64,57,7,0,134,0
Nassau 4,288,21,58,12,3,114,0
Petersburgh 1,380,67,59,4,1,205,0
Pittstown 1,216,40,28,4,1,56,0
Pittstown 2,258,50,24,1,0,60,0
Pittstown 3,397,64,37,1,2,75,0
Pittstown 4,394,79,57,3,4,138,0
Pittstown 5,301,46,37,0,0,75,0
Pittstown 6,203,41,36,0,0,69,0
Poestenkill 1,222,30,48,8,1,93,0
Poestenkill 2,450,100,80,3,3,171,0
Poestenkill 3,195,29,36,1,1,66,0
Poestenkill 4,453,85,118,3,6,200,0
Sand Lake 1,765,145,220,16,8,387,0
Sand Lake 2,441,90,96,8,4,196,0
Sand Lake 3,552,103,137,11,4,240,0
Sand Lake 4,191,45,46,1,0,92,0
Sand Lake 5,319,51,76,7,2,168,0
Sand Lake 6,222,37,42,3,4,100,0
Schaghticoke 1,454,118,84,5,4,139,0
Schaghticoke 2,163,26,28,1,1,27,0
Schaghticoke 3,365,91,46,4,3,105,0
Schaghticoke 4,230,32,30,5,2,94,0
Schaghticoke 5,250,61,53,5,0,111,0
Schaghticoke 6,414,79,73,6,0,146,0
Schaghticoke 7,436,76,77,12,2,115,0
Schodack 1,353,45,74,3,5,181,0
Schodack 2,214,29,45,4,1,89,0
Schodack 3,376,73,74,5,2,155,0
Schodack 4,447,61,65,14,2,214,0
Schodack 5,216,38,71,8,8,108,0
Schodack 6,434,79,89,5,3,211,0
Schodack 7,443,72,93,4,2,176,0
Schodack 8,397,84,73,4,8,152,0
Schodack 9,211,31,48,2,0,103,0
Schodack 10,304,36,72,8,3,156,0
Schodack 11,383,70,95,8,10,172,0
Stephentown 1,321,40,56,5,2,172,0
Stephentown 2,380,74,90,6,4,214,0