,Whole Number,DEM,REP,CON,IND,REF,WRT,SCT,Blank Votes
,,Carrie Woerner,Christopher H.,Christopher H.,Carrie Woerner,Christopher H.,Write-in,Scatter,
,,,Boyark,Boyark,,Boyark,,,
W:000 D:001,621,364,168,49,25,2,,,13
W:000 D:002,530,354,101,11,24,1,,,39
W:000 D:003,272,139,86,8,18,1,,,20
W:000 D:004,629,406,130,21,37,2,,,33
W:000 D:005,567,328,167,24,21,1,,,26
W:000 D:006,676,418,165,18,30,2,,,43
W:000 D:007,172,54,59,13,5,0,,,41
W:000 D:008,536,349,125,9,20,1,,,32
W:000 D:009,556,342,137,18,27,2,,,30
W:000 D:010,456,239,124,29,22,3,1,,38
W:000 D:011,957,571,254,27,45,8,,,52
W:000 D:012,567,343,138,19,32,5,,,30
W:000 D:013,357,215,95,11,20,0,,,16
W:000 D:014,751,448,187,19,33,3,,,61
W:000 D:015,550,312,170,20,21,4,,,23
W:000 D:016,438,200,164,21,18,1,,,34
W:000 D:017,663,284,287,22,37,4,,,29
W:000 D:018,523,250,179,26,23,2,,,43
W:000 D:019,546,307,160,23,29,1,,,26
W:000 D:020,650,314,225,34,24,5,,,48
W:000 D:021,660,344,216,40,33,4,,,23
W:000 D:022,911,461,325,49,33,1,,,42
W:000 D:023,848,450,278,38,30,6,,,46
W:000 D:024,475,359,19,3,6,0,1,,87
W:000 D:025,328,193,80,11,18,0,,,26